op_name,gpt_speedup_vs_cuda,meets_threshold,has_code
aten::hinge_embedding_loss,4.040925402258748,True,True
aten::soft_margin_loss,3.3688466385478795,True,True
aten::margin_ranking_loss,2.2465122412701652,True,True
aten::masked_scatter,2.141666824109292,True,True
aten::special_i0e,1.4625178684640705,True,True
aten::prelu,1.3229121726591495,True,True
aten::arcsinh,1.1848005874746537,True,True
aten::logical_xor_,1.0769799119450454,True,True
aten::logit,1.0694918044241668,True,True
aten::copy_,1.0492255176197947,True,True
aten::clamp_max_,1.0471137179871808,True,True
aten::_functional_sym_constrain_range_for_size,1.0352812775723073,True,True
aten::log1p_,1.0292927177873379,True,True
aten::logaddexp,1.026881513837637,True,True
aten::fmin,1.0253627754476335,True,True
aten::hardswish_backward,1.024932631352829,True,True
aten::softshrink,1.0242632929195243,True,True
aten::hypot,1.0179640268124395,True,True
aten::huber_loss,1.0166166403247952,True,True
aten::greater_equal_,1.012778286492548,True,True
aten::smooth_l1_loss,1.0127506378597784,True,True
aten::atanh_,1.0120109641876314,True,True
aten::ge_,1.0115167805863512,True,True
aten::eq_,1.0113462492697556,True,True
aten::lt_,1.0112114128924738,True,True
aten::logaddexp2,1.0104822100215445,True,True
aten::hypot_,1.010429673381476,True,True
aten::leaky_relu_,1.0100589633211612,True,True
aten::not_equal_,1.0098543575924865,True,True
aten::le_,1.0098517158640397,True,True
aten::ne_,1.0098328324931234,True,True
aten::xlogy_,1.009714773481114,True,True
aten::greater_,1.0086269505650582,True,True
aten::addcmul_,1.0085974572995544,True,True
aten::less_,1.0084309824083875,True,True
aten::multiply,1.007042884193492,True,True
aten::xlogy,1.0062889145023028,True,True
aten::heaviside_,1.0062154720717496,True,True
aten::leaky_relu,1.0058231746086614,True,True
aten::heaviside,1.004409566828267,True,True
aten::scalar_tensor,1.003317097640352,True,True
aten::log2_,1.0006913050210484,True,True
aten::deg2rad,1.000294411725973,True,True
aten::empty_permuted,1.0002436647951074,True,True
aten::square,0.9960885509312877,True,True
aten::negative_,0.9940189425876468,True,True
aten::new_ones,0.9897666212236619,True,True
aten::hardshrink,0.9824522663642185,True,True
aten::arctanh,0.907158760560685,True,True
aten::erfinv,0.8534740811869269,True,True
aten::less_equal_,0.8005147731892174,True,True
aten::zero_,0.6005817558032245,False,True
aten::sinc,0.5448625168064117,False,True
aten::threshold_,0.5274580788741771,False,True
aten::special_xlog1py,0.5126638366779087,False,True
aten::fft_ifftshift,0.3644779188025096,False,True
aten::unsqueeze_copy,0.2942516151232812,False,True
aten::permute_copy,0.2809588000574335,False,True
aten::lift,0.1780237051130482,False,True
aten::_unsafe_view,0.16815254020964956,False,True
aten::unsqueeze,0.014576242685975453,False,True
aten::permute,0.007373376073781197,False,True
aten::expand,0.006507065642202123,False,True
